1968	06	14	NaN
1968	07	05	NaN
1968	11	08	8
1969	01	21	4
1969	03	16	NaN
1969	04	22	7
1969	05	07	7
1969	05	17	NaN
1969	05	27	NaN
1969	06	05	13
1969	06	11	3
1969	06	19	5
1969	06	25	NaN
1969	06	26	6
1969	07	03	9
1969	07	07	3
1969	07	09	NaN
1969	07	17	16
1969	07	22	NaN
1969	07	24	12
1969	07	30	13
1969	08	03	NaN
1969	08	07	5
1969	08	20	8
1969	08	22	NaN
1969	08	27	6
1969	09	03	9
1969	09	08	2
1969	09	17	4
1969	09	24	3
1969	10	01	7
1969	10	16	10
1969	10	29	5
1969	11	12	NaN
1969	12	09	4
1970	01	22	5
1970	02	26	3
1970	04	09	1
1970	05	08	NaN
1970	05	16	NaN
1970	05	18	NaN
1970	05	19	NaN
1970	05	25	7
1970	05	26	9
1970	05	27	3
1970	06	02	4
1970	06	09	1
1970	06	16	5
1970	06	23	7
1970	06	30	1
1970	07	07	3
1970	07	14	7
1970	07	21	9
1970	07	28	3
1970	08	04	NaN
1970	08	11	6
1970	08	18	NaN
1970	08	25	9
1970	09	01	12
1970	09	08	16
1970	09	15	10
1970	09	22	7
1970	09	29	13
1970	10	06	14
1970	10	13	12
1970	10	20	9
1970	10	27	8
1970	11	10	11
1970	12	09	13
1971	01	19	14
1971	03	31	12
1971	05	04	47
1971	05	11	11
1971	05	18	6
1971	05	25	33
1971	06	01	50
1971	06	08	1
1971	06	15	14
1971	06	22	8
1971	06	25	NaN
1971	06	29	14
1971	07	06	11
1971	07	13	15
1971	07	20	NaN
1971	07	27	11
1971	08	03	14
1971	08	10	4
1971	08	17	6
1971	08	24	3
1971	08	31	18
1971	09	07	13
1971	09	14	6
1971	09	21	9
1971	09	28	11
1971	10	05	11
1971	10	12	15
1971	10	19	10
1971	10	26	10
1971	11	09	10
1971	12	16	9
1972	01	18	5
1972	04	06	18
1972	05	09	6
1972	05	16	5
1972	05	30	9
1972	06	13	8
1972	06	27	7
1972	07	11	9
1972	07	25	11
1972	08	08	22
1972	08	22	14
1972	09	05	15
1972	09	19	18
1972	09	26	NaN
1972	10	03	16
1972	10	17	14
1972	12	12	13
1973	01	23	9
1973	02	20	9
1973	03	20	8
1973	04	12	9
1973	05	02	8
1973	05	15	6
1973	05	28	7
1973	06	11	7
1973	06	25	9
1973	07	09	8
1973	07	23	19
1973	08	06	12
1973	08	20	10
1973	09	03	9
1973	09	17	6
1973	10	01	9
1973	10	15	7
1973	10	29	12
1973	11	06	9
1973	12	18	7
1974	01	22	10
1974	02	26	7
1974	04	02	6
1974	05	06	8
1974	05	21	6
1974	05	28	NaN
1974	06	04	6
1974	06	18	8
1974	07	02	11
1974	07	16	11
1974	07	30	12
1974	08	13	10
1974	08	27	9
1974	09	03	NaN
1974	09	10	10
1974	09	24	9
1974	10	08	8
1974	10	22	8
1974	11	05	7
1974	11	21	8
1974	12	11	8
1975	01	22	8
1975	03	04	5
1975	04	01	4
1975	05	13	9
1975	05	27	6
1975	05	27	7
1975	06	10	6
1975	06	10	8
1975	06	10	8
1975	06	24	8
1975	06	24	8
1975	07	08	13
1975	07	08	14
1975	07	08	13
1975	07	22	16
1975	07	22	16
1975	08	05	12
1975	08	05	12
1975	08	05	12
1975	08	19	10
1975	08	19	10
1975	09	02	11
1975	09	02	NaN
1975	09	02	11
1975	09	16	9
1975	09	16	9
1975	09	30	13
1975	09	30	13
1975	09	30	14
1975	10	14	9
1975	10	14	9
1975	10	28	8
1975	10	28	8
1975	10	28	7
1975	11	11	7
1975	11	11	7
1976	01	07	NaN
1976	04	02	NaN
1976	05	11	8
1976	05	25	6
1976	05	25	6
1976	06	08	5
1976	06	08	6
1976	06	22	9
1976	06	22	9
1976	07	06	8
1976	07	06	9
1976	07	20	10
1976	07	20	10
1976	08	03	9
1976	08	03	9
1976	08	17	8
1976	08	17	8
1976	08	31	9
1976	08	31	9
1976	09	14	6
1976	09	14	6
1976	09	28	7
1976	09	28	7
1976	10	12	6
1976	10	12	6
1976	12	16	6
1977	01	25	9
1977	03	03	4
1977	03	29	6
1977	05	03	8
1977	05	17	11
1977	05	31	10
1977	06	14	9
1977	06	28	9
1977	07	12	13
1977	07	26	13
1977	08	09	15
1977	08	23	10
1977	09	07	13
1977	09	20	11
1977	10	04	10
1977	10	18	8
1977	11	01	10
1977	12	13	10
1978	01	10	8
1978	02	13	10
1978	03	13	11
1978	05	09	9
1978	05	16	NaN
1978	05	23	6
1978	06	06	8
1978	06	20	8
1978	07	04	9
1978	07	18	12
1978	08	01	11
1978	08	15	11
1978	08	20	NaN
1978	08	29	12
1978	09	12	11
1978	09	26	14
1978	10	10	9
1978	10	24	7
1978	12	06	11
1979	01	10	7
1979	02	14	6
1979	03	28	6
1979	05	22	6
1979	06	05	10
1979	06	19	7
1979	07	03	8
1979	07	17	17
1979	07	31	15
1979	08	14	16
1979	08	28	16
1979	09	11	13
1979	09	25	12
1979	10	09	10
1979	10	23	9
1979	10	30	9
1979	12	17	8
1980	01	22	7
1980	02	27	7
1980	03	19	6
1980	05	06	7
1980	05	20	8
1980	06	05	24
1980	06	17	9
1980	07	01	9
1980	07	15	12
1980	07	29	26
1980	08	12	13
1980	08	26	13
1980	09	09	10
1980	09	23	11
1980	10	07	11
1980	10	21	8
1980	12	08	9
1981	01	12	8
1981	02	09	11
1981	03	16	8
1981	05	04	9
1981	05	04	NaN
1981	05	18	NaN
1981	05	19	7
1981	06	01	NaN
1981	06	02	2
1981	06	15	NaN
1981	06	16	8
1981	06	29	NaN
1981	06	30	10
1981	07	13	NaN
1981	07	14	8
1981	07	27	NaN
1981	07	28	9
1981	08	10	NaN
1981	08	11	9
1981	08	24	NaN
1981	08	25	25
1981	08	26	NaN
1981	08	26	NaN
1981	09	08	9
1981	09	08	NaN
1981	09	21	NaN
1981	09	22	13
1981	10	05	NaN
1981	10	06	11
1981	10	14	NaN
1981	10	20	7
1981	12	15	8
1982	01	13	8
1982	02	10	7
1982	03	10	7
1982	05	05	8
1982	05	05	NaN
1982	05	11	10
1982	05	17	NaN
1982	05	18	NaN
1982	05	25	7
1982	05	31	NaN
1982	06	08	6
1982	06	14	NaN
1982	06	15	8
1982	06	22	14
1982	06	29	9
1982	06	29	NaN
1982	07	06	9
1982	07	12	NaN
1982	07	14	6
1982	07	20	8
1982	07	26	NaN
1982	07	27	14
1982	07	28	NaN
1982	08	03	10
1982	08	03	NaN
1982	08	09	NaN
1982	08	10	13
1982	08	17	16
1982	08	23	NaN
1982	08	24	17
1982	08	31	23
1982	09	06	NaN
1982	09	07	22
1982	09	14	21
1982	09	20	NaN
1982	09	21	12
1982	09	28	NaN
1982	09	28	11
1982	10	05	10
1982	10	12	13
1982	10	13	NaN
1982	10	19	11
1982	10	25	NaN
1982	10	26	13
1982	11	01	11
1982	12	14	12
1983	01	11	13
1983	02	15	11
1983	03	14	13
1983	05	08	NaN
1983	05	11	12
1983	05	15	NaN
1983	05	17	14
1983	05	24	12
1983	05	29	NaN
1983	05	31	11
1983	06	07	12
1983	06	12	NaN
1983	06	14	10
1983	06	21	18
1983	06	26	NaN
1983	06	28	10
1983	07	05	9
1983	07	10	NaN
1983	07	12	15
1983	07	13	NaN
1983	07	13	NaN
1983	07	13	NaN
1983	07	13	NaN
1983	07	19	10
1983	07	20	NaN
1983	07	24	NaN
1983	07	26	13
1983	07	26	NaN
1983	08	02	14
1983	08	07	NaN
1983	08	09	17
1983	08	16	14
1983	08	21	NaN
1983	08	23	15
1983	08	30	13
1983	09	04	NaN
